header,,,lamp_states,,,,lamp_states,,,,lamp_states,,,
stamp,,frame_id,type,status,confidence,id,type,status,confidence,id,type,status,confidence,id
sec,nanosec,,,,,,,,,,,,,
1720612905,471285175,CF,1,8,85,58554,,,,,,,,
1720612905,559965591,CF_short,1,8,97,58554,,,,,,,,
1720612905,566417128,CF,1,8,71,58554,5,8,71,58554,,,,
1720612905,662289308,CF,1,8,58,58554,1,8,93,58554,,,,
1720612905,757065742,CF,1,8,56,58554,1,8,92,58554,,,,
1720612905,944185284,CF,1,8,77,58554,1,8,96,58554,,,,
1720612906,88297209,CF,1,8,58,58554,1,8,98,58554,,,,
1720612906,183232436,CF,0,8,43,58554,0,8,99,58554,,,,
1720612906,333151972,CF,1,8,95,58554,,,,,,,,
1720612906,375648142,CF,0,8,99,58554,,,,,,,,
1720612906,652287247,CF,1,8,51,58554,1,8,99,58554,,,,
1720612906,794930314,CF,1,8,62,58554,1,8,94,58554,,,,
1720612906,937691819,CF,1,8,94,58554,,,,,,,,
1720612907,1457183,CF_short,0,8,51,58554,,,,,,,,
1720612907,109402338,CF_short,0,8,62,58554,,,,,,,,
1720612907,124835195,CF,1,8,97,58554,,,,,,,,
1720612907,265480368,CF,1,8,95,58554,,,,,,,,
1720612907,253212133,CF_short,0,8,43,58554,,,,,,,,
1720612907,410782236,CF,0,8,99,58554,,,,,,,,
1720612907,643496260,CF,1,8,64,58554,1,8,97,58554,,,,
1720612907,742101774,CF,0,8,99,58554,,,,,,,,
1720612907,758361191,CF_short,1,8,99,58554,,,,,,,,
1720612907,928397256,CF,1,8,45,58554,1,8,89,58554,,,,
1720612908,67782188,CF,0,8,99,58554,,,,,,,,
1720612908,75280943,CF_short,0,8,99,58554,,,,,,,,
1720612908,208661562,CF_short,0,8,98,58554,,,,,,,,
1720612908,212695446,CF,0,8,99,58554,,,,,,,,
1720612908,404034915,CF,0,8,99,58554,0,8,99,58554,,,,
1720612908,570810170,CF_short,1,8,99,58554,,,,,,,,
1720612908,542092082,CF,0,8,99,58554,,,,,,,,
1720612908,781093477,CF_short,0,8,99,58554,,,,,,,,
1720612908,849751481,CF_short,0,8,99,58554,,,,,,,,
1720612908,822837732,CF,1,8,97,58554,,,,,,,,
1720612909,86429978,CF_short,0,8,99,58554,1,8,99,58554,,,,
1720612909,157211606,CF,1,8,96,58554,,,,,,,,
1720612909,183728329,CF_short,0,8,65,58554,,,,,,,,
1720612909,348882558,CF_short,1,8,97,58554,,,,,,,,
1720612909,344007411,CF,1,8,96,58554,,,,,,,,
1720612909,557262686,CF_short,0,8,82,58554,1,8,99,58554,,,,
1720612909,692375904,CF_short,0,8,98,58554,0,8,63,58554,,,,
1720612909,868244620,CF_short,0,8,59,58554,1,8,92,58554,,,,
1720612910,38779619,CF_short,1,8,95,58554,,,,,,,,
1720612910,51821270,CF,0,8,99,58554,,,,,,,,
1720612910,250685326,CF_short,1,8,88,58554,1,8,99,58554,,,,
1720612910,436208531,CF_short,0,8,99,58554,1,8,99,58554,,,,
1720612910,608037775,CF_short,1,8,73,58554,1,8,99,58554,,,,
1720612910,741378227,CF_short,1,8,97,58554,1,8,99,58554,,,,
1720612910,907153729,CF_short,1,8,99,58554,1,8,99,58554,,,,
1720612911,83192335,CF_short,1,8,99,58554,1,8,99,58554,,,,
1720612911,283986450,CF_short,1,8,97,58554,1,8,99,58554,,,,
1720612911,390728295,CF_short,1,8,98,58554,,,,,,,,
1720612911,565422608,CF_short,1,8,99,58554,,,,,,,,
1720612911,709544614,CF_short,0,8,55,58554,,,,,,,,
1720612911,843236663,CF_short,1,8,96,58554,,,,,,,,
1720612911,980995424,CF_short,1,8,99,58554,,,,,,,,
1720612912,46596070,CF_short,1,8,99,58554,,,,,,,,
